transactionId,accountId,transactionDay,category,transactionAmount
T000976,A8,29,GG,39.5
T000845,A25,26,EE,20.93
T000957,A2,28,EE,585.24
T000103,A13,2,EE,131.47
T000138,A21,4,GG,920.24
T000489,A47,13,EE,940.13
T000257,A49,6,GG,961.67
T000266,A7,7,AA,682.74
T000185,A26,4,EE,4.12
T00015,A43,1,CC,825.05
T000371,A18,10,GG,477.88
T000362,A16,9,FF,412.34
T000764,A4,24,CC,707.51
T000731,A17,23,FF,846.92
T000616,A29,20,CC,596.66
T000113,A3,3,EE,450.64
T000803,A10,25,AA,87.32
T000294,A37,8,EE,165.48
T000509,A36,14,FF,718.85
T000869,A1,27,BB,505.46
T000302,A2,8,BB,123.92
T000238,A4,6,CC,762.86
T00062,A37,2,CC,338.21
T000373,A45,10,EE,628.63
T000989,A6,29,GG,543.07
T000265,A18,7,EE,941.14
T000792,A18,25,AA,300.36
T000612,A18,19,BB,581.56
T00082,A46,2,AA,762.15
T000380,A7,10,FF,326.39
T000342,A20,9,GG,916.87
T000288,A32,8,GG,404.86
T000778,A47,24,FF,972.8
T000558,A13,17,GG,591.11
T000105,A28,2,CC,341.52
T000155,A45,4,BB,940.41
T000129,A29,3,EE,997.18
T000161,A14,4,AA,796.33
T000247,A43,6,GG,576.07
T000149,A37,4,EE,626.96
T000329,A12,8,CC,67.27
T000788,A15,25,FF,216.16
T000538,A38,15,EE,309.36
T000106,A11,2,AA,885.56
T000367,A10,10,EE,808.56
T000716,A16,23,DD,169.37
T000914,A6,27,BB,385.48
T000610,A25,19,BB,732.68
T000420,A4,11,FF,927.5
T000852,A42,26,EE,308.68
T000631,A26,20,DD,82.27
T000769,A30,24,EE,591.89
T000366,A35,10,BB,167.01
T00045,A5,1,CC,183.1
T000221,A2,6,BB,625.73
T000705,A30,23,GG,561.83
T000686,A22,22,DD,561.89
T000362,A16,9,FF,412.34
T000538,A38,15,EE,309.36
T000748,A15,24,CC,767.2
T000302,A2,8,BB,123.92
T000535,A38,15,GG,506.05
T000741,A48,23,FF,146.1
T000460,A35,12,EE,616.97
T000724,A18,23,FF,183.53
T000720,A40,23,CC,316.05
T000873,A24,27,CC,820.79
T000710,A29,23,BB,273.64
T0007,A29,1,FF,439.49
T000201,A47,5,FF,900.67
T000977,A25,29,FF,979.22
T000920,A32,27,EE,247.25
T000947,A20,28,FF,86.84
T000761,A42,24,EE,509.91
T000870,A15,27,GG,149.36
T000136,A18,4,EE,718.32
T000259,A21,7,DD,879.83
T000511,A44,14,FF,624.71
T000772,A17,24,EE,303.8
T000905,A8,27,CC,519.6
T000683,A39,22,GG,564.13
T000405,A21,11,AA,935.71
T000544,A24,16,AA,168.39
T000835,A24,26,FF,337.48
T00046,A10,1,BB,557.57
T000694,A21,22,GG,355.28
T000487,A43,13,GG,293.12
T000324,A44,8,EE,1.51
T000529,A49,15,BB,272.66
T000651,A4,20,DD,144.59
T000455,A2,12,FF,536.59
T000164,A2,4,DD,208.19
T000629,A22,20,BB,615.47
T000505,A31,14,DD,930.74
T000944,A26,28,DD,290.18
T000269,A18,7,AA,727.33
T000907,A17,27,GG,592.19
T000302,A2,8,BB,123.92
T000752,A27,24,CC,832.59
T000163,A33,4,FF,617.25
T000639,A13,20,DD,503.27
T000973,A40,28,FF,940.97
T000423,A26,11,AA,262.38
T000442,A43,12,GG,649.53
T000721,A13,23,CC,804.62
T000511,A44,14,FF,624.71
T00088,A42,2,DD,767.11
T000198,A41,5,EE,777.29
T000325,A33,8,EE,294.28
T000104,A8,2,BB,277.48
T000509,A36,14,FF,718.85
T000971,A15,28,DD,803.89
T000597,A45,19,GG,61.23
T00058,A48,2,AA,797.19
T000982,A22,29,GG,300.95
T000509,A36,14,FF,718.85
T000430,A7,11,GG,162.69
T000812,A45,26,GG,440.15
T000817,A17,26,DD,957.65
T000271,A1,7,FF,622.43
T00031,A18,1,GG,379.86
T000930,A42,28,DD,401.57
T00061,A5,2,BB,171.3
T000777,A36,24,EE,112.66
T000838,A17,26,CC,969.1
T000365,A27,10,AA,83.54
T000711,A22,23,BB,486.6
T000595,A14,18,GG,503.58
T000438,A37,11,BB,812.64
T000823,A29,26,DD,512.52
T000578,A20,18,FF,39.76
T000730,A10,23,AA,577.76
T000245,A48,6,GG,354.58
T000127,A34,3,EE,567.0
T000431,A27,11,FF,196.18
T000251,A22,6,FF,125.64
T000409,A36,11,DD,34.32
T000678,A9,21,AA,817.52
T000945,A17,28,CC,627.62
T000542,A15,15,DD,49.88
T000257,A49,6,GG,961.67
T000967,A43,28,BB,548.64
T000945,A17,28,CC,627.62
T000282,A40,8,CC,958.65
T000637,A2,20,BB,758.43
T000368,A44,10,AA,242.44
T000854,A16,26,AA,402.91
T000828,A6,26,DD,678.71
T000236,A30,6,DD,619.14
T000614,A18,19,GG,965.08
T000655,A14,20,EE,990.14
T000207,A44,6,EE,560.05
T000991,A20,29,AA,707.38
T000940,A10,28,AA,908.15
T000240,A21,6,BB,984.67
T00072,A27,2,CC,764.79
T00086,A8,2,AA,598.28
T000749,A29,24,GG,543.76
T00091,A31,2,FF,748.48
T000521,A35,14,CC,778.14
T000344,A45,9,EE,212.34
T000456,A8,12,FF,508.23
T00067,A10,2,BB,747.62
T000736,A28,23,FF,915.79
T000871,A44,27,GG,653.35
T000519,A6,14,EE,381.66
T000330,A45,8,EE,40.93
T000273,A44,7,GG,377.61
T000329,A12,8,CC,67.27
T000942,A38,28,EE,694.54
T000598,A47,19,EE,139.81
T000416,A5,11,EE,476.28
T000117,A3,3,EE,873.58
T000341,A47,9,DD,796.9
T000602,A17,19,GG,754.54
T000301,A28,8,CC,159.73
T000989,A6,29,GG,543.07
T000113,A3,3,EE,450.64
T000482,A4,13,GG,360.62
T000540,A26,15,BB,222.74
T000512,A18,14,BB,466.91
T000772,A17,24,EE,303.8
T000101,A29,2,EE,261.75
T000771,A12,24,FF,507.34
T000704,A30,22,AA,195.72
T000206,A35,6,AA,714.33
T000167,A38,4,DD,216.92
T000941,A22,28,AA,583.76
T000192,A34,4,BB,282.0
T000527,A25,15,BB,581.52
T000590,A31,18,DD,378.76
T000138,A21,4,GG,920.24
T000805,A11,25,GG,314.13
T000825,A33,26,CC,854.59
T000924,A6,27,EE,354.95
T000567,A12,17,AA,983.51
T000183,A31,4,DD,528.04
T000864,A29,27,EE,742.93
T000641,A18,20,CC,695.15
T000804,A48,25,CC,402.8
T00088,A42,2,DD,767.11
T000680,A29,21,BB,221.69
T0001,A27,1,GG,338.11
T000487,A43,13,GG,293.12
T000436,A21,11,CC,783.38
T00026,A46,1,FF,827.91
T000843,A34,26,AA,888.58
T000457,A6,12,CC,857.62
T000705,A30,23,GG,561.83
T00017,A33,1,DD,352.64
T000159,A41,4,BB,427.26
T000767,A11,24,DD,8.28
T000703,A1,22,FF,37.55
T000240,A21,6,BB,984.67
T000205,A45,6,GG,133.23
T000353,A35,9,GG,294.89
T000409,A36,11,DD,34.32
T000896,A6,27,FF,129.53
T000660,A40,20,EE,677.21
T000735,A49,23,GG,63.91
T00010,A23,1,BB,416.36
T000609,A49,19,CC,907.87
T000765,A3,24,DD,613.79
T000309,A33,8,BB,162.66
T000409,A36,11,DD,34.32
T000412,A31,11,GG,483.42
T000455,A2,12,FF,536.59
T000982,A22,29,GG,300.95
T000157,A34,4,FF,5.16
T000715,A38,23,CC,55.4
T000676,A7,21,GG,759.84
T000856,A21,26,GG,937.1
T000426,A16,11,GG,575.27
T00066,A21,2,EE,107.9
T000318,A32,8,BB,645.75
T000330,A45,8,EE,40.93
T000606,A4,19,GG,388.94
T000794,A6,25,BB,675.99
T0008,A49,1,DD,848.9
T000846,A14,26,FF,950.86
T000355,A13,9,DD,541.16
T000579,A1,18,BB,593.17
T000138,A21,4,GG,920.24
T000940,A10,28,AA,908.15
T000115,A26,3,GG,43.57
T000589,A10,18,FF,508.87
T000857,A34,26,DD,73.1
T000872,A46,27,CC,878.49
T000144,A43,4,EE,185.87
T000964,A44,28,AA,905.31
T000677,A19,21,DD,815.2
T000253,A41,6,GG,398.44
T000810,A2,26,DD,977.2
T000311,A16,8,FF,8.63
T000271,A1,7,FF,622.43
T000300,A19,8,AA,190.74
T000932,A43,28,FF,276.57
T000779,A49,24,DD,86.11
T000738,A23,23,BB,596.6
T000553,A9,16,DD,930.61
T000907,A17,27,GG,592.19
T000717,A4,23,EE,522.17
T000569,A36,17,BB,717.84
T000694,A21,22,GG,355.28
T000360,A45,9,DD,98.49
T000230,A26,6,FF,432.2
T000416,A5,11,EE,476.28
T00042,A43,1,AA,886.73
T000949,A14,28,AA,260.02
T000578,A20,18,FF,39.76
T00092,A8,2,EE,154.29
T000911,A19,27,AA,507.86
T000681,A38,22,BB,934.23
T000210,A24,6,GG,675.99
T000609,A49,19,CC,907.87
T000254,A45,6,DD,573.27
T000944,A26,28,DD,290.18
T000761,A42,24,EE,509.91
T000372,A37,10,AA,773.09
T000921,A10,27,BB,904.59
T000685,A1,22,CC,663.04
T00095,A21,2,BB,285.11
T000833,A30,26,BB,632.58
T000115,A26,3,GG,43.57
T000394,A31,11,EE,793.57
T000805,A11,25,GG,314.13
T000537,A44,15,GG,136.35
T000424,A35,11,CC,875.48
T000396,A23,11,AA,335.92
T000338,A8,8,GG,497.34
T000162,A5,4,AA,948.31
T00066,A21,2,EE,107.9
T000302,A2,8,BB,123.92
T000718,A18,23,AA,554.78
T000589,A10,18,FF,508.87
T000485,A8,13,EE,240.13
T00056,A16,1,EE,820.45
T000642,A9,20,EE,353.85
T000430,A7,11,GG,162.69
T000462,A46,12,AA,281.83
T000227,A4,6,DD,938.17
T00027,A35,1,FF,245.3
T000608,A22,19,CC,992.15
T00044,A1,1,DD,227.64
T000510,A43,14,BB,876.97
T000721,A13,23,CC,804.62
T00082,A46,2,AA,762.15
T000508,A43,14,FF,663.92
T000777,A36,24,EE,112.66
T000634,A24,20,CC,895.78
T000264,A20,7,AA,402.18
T00070,A40,2,DD,633.84
T000541,A25,15,GG,130.85
T000356,A48,9,GG,618.16
T000283,A36,8,CC,726.54
T000501,A6,14,DD,175.47
T000278,A8,8,DD,339.16
T000599,A23,19,DD,727.98
T000701,A18,22,CC,237.57
T000818,A13,26,CC,696.11
T000235,A16,6,BB,873.61
T000603,A11,19,CC,15.86
T000635,A29,20,BB,547.89
T000748,A15,24,CC,767.2
T00056,A16,1,EE,820.45
T000298,A7,8,GG,278.49
T000326,A17,8,FF,185.48
T000416,A5,11,EE,476.28
T000530,A42,15,FF,480.3
T000278,A8,8,DD,339.16
T000550,A35,16,DD,637.19
T000341,A47,9,DD,796.9
T000496,A23,13,GG,780.47
T000433,A41,11,DD,337.13
T000303,A19,8,EE,532.33
T00074,A23,2,AA,743.51
T000486,A6,13,GG,132.76
T000218,A27,6,AA,166.29
T000935,A3,28,DD,692.65
T000738,A23,23,BB,596.6
T000852,A42,26,EE,308.68
T000190,A16,4,FF,874.84
T000367,A10,10,EE,808.56
T000383,A19,10,FF,34.22
T000163,A33,4,FF,617.25
T000808,A5,25,EE,716.41
T000225,A46,6,BB,287.48
T000646,A35,20,DD,255.57
T00075,A15,2,DD,168.31
T000638,A7,20,EE,426.87
T000290,A13,8,CC,784.17
T000850,A31,26,FF,406.26
T000268,A12,7,AA,391.18
T000318,A32,8,BB,645.75
T000657,A14,20,EE,543.43
T000746,A23,24,DD,636.67
T000301,A28,8,CC,159.73
T000540,A26,15,BB,222.74
T000753,A42,24,DD,999.53
T000220,A48,6,DD,762.14
T000276,A36,8,CC,949.59
T000725,A22,23,CC,850.32
T00088,A42,2,DD,767.11
T000127,A34,3,EE,567.0
T000567,A12,17,AA,983.51
T000952,A15,28,BB,731.64
T00040,A44,1,FF,139.55
T000240,A21,6,BB,984.67
T000795,A26,25,GG,336.01
T000531,A38,15,GG,339.02
T000321,A39,8,AA,648.41
T000790,A6,25,DD,215.96
T000820,A30,26,GG,397.64
T000815,A24,26,DD,116.68
T000885,A7,27,GG,359.55
T000190,A16,4,FF,874.84
T000646,A35,20,DD,255.57
T00051,A20,1,GG,490.24
T000956,A29,28,EE,169.75
T000515,A38,14,AA,780.74
T000156,A7,4,FF,203.34
T000162,A5,4,AA,948.31
T000340,A5,9,GG,886.19
T000171,A42,4,EE,387.29
T000897,A44,27,BB,852.46
T00026,A46,1,FF,827.91
T000565,A26,17,GG,411.43
T000145,A9,4,DD,685.45
T000815,A24,26,DD,116.68
T000502,A1,14,CC,562.36
T000667,A14,21,GG,306.85
T000455,A2,12,FF,536.59
T000546,A14,16,BB,10.86
T000679,A23,21,DD,672.24
T000188,A33,4,EE,235.73
T000111,A45,3,CC,213.21
T000333,A1,8,AA,898.64
T000879,A10,27,BB,252.62
T000454,A21,12,DD,490.6
T000648,A13,20,GG,637.65
T000121,A30,3,FF,822.84
T000376,A38,10,DD,223.63
T00087,A24,2,EE,298.56
T000517,A44,14,GG,454.05
T000193,A26,4,DD,503.58
T000143,A6,4,GG,656.9
T000173,A46,4,AA,7.82
T000675,A43,21,EE,193.25
T000776,A1,24,GG,329.63
T000926,A7,28,FF,774.2
T000135,A29,4,FF,827.53
T000470,A6,12,FF,178.29
T00036,A43,1,CC,546.37
T000307,A46,8,EE,115.6
T000281,A33,8,FF,328.74
T000500,A31,14,AA,646.75
T000609,A49,19,CC,907.87
T000812,A45,26,GG,440.15
T000949,A14,28,AA,260.02
T000531,A38,15,GG,339.02
T000663,A44,21,CC,368.3
T000474,A40,12,EE,6.53
T000542,A15,15,DD,49.88
T000136,A18,4,EE,718.32
T000303,A19,8,EE,532.33
T000510,A43,14,BB,876.97
T000539,A36,15,DD,1.54
T000804,A48,25,CC,402.8
T000925,A30,27,FF,236.82
T000789,A11,25,EE,718.22
T00029,A35,1,DD,756.32
T000130,A34,3,GG,688.78
T000237,A13,6,BB,150.04
T000225,A46,6,BB,287.48
T000273,A44,7,GG,377.61
T000412,A31,11,GG,483.42
T000108,A12,2,EE,928.86
T000863,A45,27,BB,943.08
T000600,A19,19,FF,863.7
T000183,A31,4,DD,528.04
T000262,A5,7,FF,574.18
T000330,A45,8,EE,40.93
T000280,A22,8,GG,995.78
T000730,A10,23,AA,577.76
T000511,A44,14,FF,624.71
T000884,A13,27,AA,866.5
T000849,A9,26,AA,141.36
T000784,A33,25,AA,89.59
T000232,A20,6,FF,990.85
T000241,A12,6,DD,223.49
T000410,A10,11,CC,453.24
T000418,A41,11,CC,120.49
T000570,A24,17,GG,587.77
T00071,A17,2,BB,533.15
T000303,A19,8,EE,532.33
T000371,A18,10,GG,477.88
T000643,A46,20,GG,621.39
T000584,A34,18,CC,983.24
T000788,A15,25,FF,216.16
T000322,A12,8,FF,486.56
T000719,A39,23,CC,832.82
T000213,A44,6,EE,10.59
T000360,A45,9,DD,98.49
T000370,A19,10,CC,441.98
T000544,A24,16,AA,168.39
T000829,A44,26,GG,903.72
T000861,A16,27,AA,455.58
T000451,A36,12,EE,79.24
T000131,A39,4,BB,243.39
T000843,A34,26,AA,888.58
T000707,A39,23,FF,322.8
T000100,A34,2,FF,101.51
T000886,A49,27,GG,290.14
T000188,A33,4,EE,235.73
T000943,A35,28,CC,828.57
T000477,A3,13,BB,746.53
T00020,A32,1,EE,284.34
T000797,A31,25,CC,660.74
T00039,A41,1,FF,181.65
T000481,A41,13,GG,859.51
T000254,A45,6,DD,573.27
T000985,A27,29,FF,360.1
T000636,A5,20,AA,128.16
T000272,A5,7,AA,151.88
T000690,A24,22,FF,631.91
T000822,A38,26,EE,240.9
T000295,A36,8,BB,434.1
T000771,A12,24,FF,507.34
T000333,A1,8,AA,898.64
T000858,A38,26,EE,356.95
T000580,A18,18,DD,450.83
T000439,A3,11,AA,777.15
T000313,A10,8,AA,960.56
T000425,A28,11,BB,780.81
T000585,A20,18,CC,296.89
T000548,A10,16,FF,815.31
T000335,A42,8,FF,894.86
T000560,A45,17,EE,232.66
T000288,A32,8,GG,404.86
T000800,A46,25,EE,885.94
T000258,A32,6,EE,151.2
T00093,A35,2,GG,526.4
T000877,A42,27,CC,882.74
T000515,A38,14,AA,780.74
T000950,A32,28,AA,600.34
T000888,A25,27,EE,37.26
T000742,A16,23,DD,670.03
T000587,A3,18,DD,179.37
T000886,A49,27,GG,290.14
T000848,A31,26,GG,314.32
T00071,A17,2,BB,533.15
T000139,A14,4,CC,539.61
T000506,A41,14,FF,26.11
T000535,A38,15,GG,506.05
T000320,A19,8,CC,947.38
T000601,A1,19,DD,568.98
T000490,A29,13,CC,39.24
T000162,A5,4,AA,948.31
T00074,A23,2,AA,743.51
T000419,A34,11,BB,462.63
T000169,A43,4,CC,660.77
T000771,A12,24,FF,507.34
T000910,A42,27,DD,335.43
T000495,A42,13,CC,971.14
T000892,A39,27,BB,281.02
T00083,A29,2,EE,495.34
T000178,A9,4,GG,812.73
T000130,A34,3,GG,688.78
T000492,A42,13,AA,38.18
T000755,A25,24,FF,661.71
T000511,A44,14,FF,624.71
T000139,A14,4,CC,539.61
T000575,A20,17,FF,803.1
T000560,A45,17,EE,232.66
T000671,A5,21,CC,443.89
T000686,A22,22,DD,561.89
T00038,A43,1,AA,393.46
T000538,A38,15,EE,309.36
T000761,A42,24,EE,509.91
T000159,A41,4,BB,427.26
T000124,A28,3,CC,530.93
T000435,A7,11,BB,699.44
T000967,A43,28,BB,548.64
T000545,A36,16,CC,377.01
T000339,A4,9,AA,163.78
T000599,A23,19,DD,727.98
T000678,A9,21,AA,817.52
T000735,A49,23,GG,63.91
T000438,A37,11,BB,812.64
T000605,A36,19,BB,190.37
T000249,A30,6,DD,114.33
T00020,A32,1,EE,284.34
T000265,A18,7,EE,941.14
T000160,A18,4,GG,699.63
T000662,A44,21,CC,809.19
T000578,A20,18,FF,39.76
T000797,A31,25,CC,660.74
T000324,A44,8,EE,1.51
T000385,A48,10,FF,162.03
T000597,A45,19,GG,61.23
T000401,A30,11,CC,252.14
T000737,A38,23,DD,507.11
T000530,A42,15,FF,480.3
T0001,A27,1,GG,338.11
T000940,A10,28,AA,908.15
T000276,A36,8,CC,949.59
T000970,A39,28,FF,201.68
T000568,A34,17,CC,513.9
T000513,A45,14,EE,669.29
T000800,A46,25,EE,885.94
T000599,A23,19,DD,727.98
T000374,A7,10,EE,796.32
T000377,A16,10,GG,546.21
T000758,A41,24,FF,304.01
T000833,A30,26,BB,632.58
T000444,A6,12,GG,654.74
T000766,A35,24,FF,641.07
T000595,A14,18,GG,503.58
T000847,A47,26,EE,950.51
T000754,A31,24,GG,723.88
T000899,A3,27,FF,328.24
T000874,A25,27,CC,825.71
T000943,A35,28,CC,828.57
T000492,A42,13,AA,38.18
T000648,A13,20,GG,637.65
T00025,A21,1,GG,857.83
T000340,A5,9,GG,886.19
T000219,A20,6,FF,973.22
T000921,A10,27,BB,904.59
T00043,A14,1,FF,191.18
T000781,A3,24,DD,155.67
T000948,A14,28,BB,620.32
T000215,A43,6,DD,463.71
T000952,A15,28,BB,731.64
T000464,A21,12,EE,349.34
T000164,A2,4,DD,208.19
T000472,A10,12,AA,707.74
T00013,A33,1,BB,185.4
T000592,A29,18,GG,784.31
T000778,A47,24,FF,972.8
T000475,A32,12,CC,19.02
T000787,A38,25,DD,705.08
T000473,A49,12,BB,313.26
T000348,A26,9,AA,685.36
T000861,A16,27,AA,455.58
T000690,A24,22,FF,631.91
T00039,A41,1,FF,181.65
T000422,A18,11,DD,525.11
T000172,A46,4,DD,523.63
T000642,A9,20,EE,353.85
T00024,A34,1,AA,738.28
T000478,A12,13,AA,959.1
T000782,A20,24,DD,654.36
T000346,A43,9,CC,843.61
T000420,A4,11,FF,927.5
T000799,A27,25,DD,592.84
T000811,A21,26,CC,22.89
T000976,A8,29,GG,39.5
T000748,A15,24,CC,767.2
T000660,A40,20,EE,677.21
T000587,A3,18,DD,179.37
T00059,A30,2,GG,958.29
T000262,A5,7,FF,574.18
T000353,A35,9,GG,294.89
T000300,A19,8,AA,190.74
T000166,A28,4,BB,633.11
T000772,A17,24,EE,303.8
T000344,A45,9,EE,212.34
T000139,A14,4,CC,539.61
T00084,A49,2,GG,378.71
T000502,A1,14,CC,562.36
T000610,A25,19,BB,732.68
T000782,A20,24,DD,654.36
T000772,A17,24,EE,303.8
T000277,A9,8,EE,550.18
T000669,A40,21,AA,669.76
T000715,A38,23,CC,55.4
T000482,A4,13,GG,360.62
T000877,A42,27,CC,882.74
T000479,A31,13,AA,763.68
T000771,A12,24,FF,507.34
T000223,A21,6,CC,818.33
T000155,A45,4,BB,940.41
T000664,A1,21,GG,364.69
T000741,A48,23,FF,146.1
T000689,A29,22,FF,942.92
T000961,A43,28,DD,741.35
T000716,A16,23,DD,169.37
T000805,A11,25,GG,314.13
T000230,A26,6,FF,432.2
T000975,A2,28,BB,485.85
T000437,A3,11,CC,629.35
T000749,A29,24,GG,543.76
T000493,A28,13,DD,904.17
T000921,A10,27,BB,904.59
T000259,A21,7,DD,879.83
T000198,A41,5,EE,777.29
T000342,A20,9,GG,916.87
T000550,A35,16,DD,637.19
T00063,A4,2,CC,659.49
T000595,A14,18,GG,503.58
T000845,A25,26,EE,20.93
T000835,A24,26,FF,337.48
T000598,A47,19,EE,139.81
T000432,A44,11,CC,368.48
T000359,A12,9,EE,173.13
T000434,A13,11,FF,866.21
T000333,A1,8,AA,898.64
T000153,A39,4,AA,422.17
T000521,A35,14,CC,778.14
T000297,A25,8,EE,104.19
T00061,A5,2,BB,171.3
T00015,A43,1,CC,825.05
T000187,A17,4,AA,614.56
